Year,Month,Date,Rent,Mortgage,Food,Water,Electricity,EMI,Utilities
2024,November,28,14111.18,16751.13,3167,730.19,8089.77,4613.11,4852
2023,August,16,48387.79,71495.65,3075,658.67,7434.97,17164.3,1303
2023,October,11,6720.97,98772.68,7679,906.42,423.84,12140.49,2958
2023,April,21,31207.27,54438.01,9054,265.48,9228.98,2077.73,625
2024,November,11,48869.37,87694.38,5120,482.45,9015.76,14135.8,4661
2023,October,10,49104.21,58696.59,7217,594.62,2830.79,4413.15,148
2024,January,14,11319.43,53867.59,344,930.54,501.34,4251.83,2993
2023,April,20,37048.46,98835.59,1711,792.56,5263.21,15349.45,4129
2023,March,17,14748.76,52420.99,3480,949.64,9014.44,17856.83,2874
2024,September,22,2768.31,11015.11,4455,807.5,1325.25,14724.3,4666
2024,August,18,25918.39,72996.28,4152,961.96,8462.39,7489.36,611
2024,January,19,6853.21,21905.08,3041,641.49,9163.41,11716.36,4458
2024,March,8,11793.73,28498.78,8179,975.49,941.52,18519.79,1522
2024,February,28,43368.16,76537.79,1057,753.36,8875.96,17953.68,283
2023,September,5,28306.19,31119.76,5712,324.67,8149.53,15461.41,4595
2024,December,15,42367.84,37735.61,6629,573.67,513.43,672.91,695
2023,March,29,38357.88,84674.79,1438,571.16,9676.45,5564.02,4465
2023,April,18,12576.26,73139.15,7486,449.19,2480.76,18437.94,3400
2023,January,1,39036.49,41883.05,5348,252.42,7902.87,10819.09,230
2023,December,8,8218.77,88505.29,674,178.11,6169.7,12451.65,4378
2023,May,23,46053.2,91832.05,8587,861.74,5356.73,11067.31,1666
2024,March,4,33228.3,50421.32,5996,899.72,9351.3,7131.95,2592
2024,June,17,28968.76,11039.93,9237,348.31,9628.24,4974.83,4468
2023,March,16,25915.03,27673.36,4770,837.79,8606.12,7162.01,1908
2023,June,21,21599.66,27212.81,1115,692.78,4718.97,2032.55,2774
2024,December,12,7313.91,88297.2,9789,746.73,7572.57,7576.83,4695
2023,March,6,28715.04,95776.58,3062,502.41,1861.83,4603.98,1661
2024,May,24,44256.1,78423.26,2696,141.51,4788.98,16457.61,4532
2023,December,19,10118.28,51557.78,7507,999.41,5031.97,17256.73,2858
2023,June,16,34865.85,84437.62,2861,977.24,3341.19,13581.0,4451
2024,December,12,26163.55,55440.98,6902,347.69,5276.24,19061.72,3006
2024,May,10,24338.37,22426.67,2219,909.88,6505.81,19461.33,3260
2024,November,11,29402.08,13837.32,3638,641.88,6673.65,8670.55,2759
2023,June,11,49820.06,71267.41,4037,967.39,3624.84,4556.94,4138
2024,February,16,3328.45,47140.38,4020,168.47,3633.79,13703.0,2009
2024,October,27,49931.89,13715.48,6054,799.15,8278.67,7687.66,3664
2023,February,10,11610.54,47302.95,8640,113.69,1491.09,10024.94,278
2024,August,18,34703.02,26258.78,3856,223.41,4404.41,18194.53,2026
2024,August,7,2233.87,84704.79,1701,531.48,8225.48,17105.74,2004
2023,October,7,25924.33,70818.18,9156,364.0,489.77,14728.86,716
2024,November,2,28185.77,11990.78,414,260.32,6928.64,18741.41,4283
2023,November,2,40850.78,96829.97,4343,101.53,624.73,3583.54,3532
2023,October,14,19176.33,69647.69,2355,588.85,8268.83,18983.66,3367
2023,August,7,40543.52,89598.19,5631,702.27,8695.13,18270.82,901
2024,August,17,1669.13,20311.71,8566,360.31,6224.91,6529.08,4206
2023,November,26,45740.64,17863.53,7452,237.19,8938.68,1382.74,1016
2024,September,23,43147.23,93475.8,7274,114.28,8890.06,19844.27,2486
2023,October,29,29017.13,81102.49,5619,807.61,4442.73,12527.11,4649
2023,September,25,37083.88,76060.35,8904,900.76,9387.12,14527.37,3420
2023,December,7,34167.47,19561.73,2835,849.27,1421.77,10661.07,4930
2023,June,19,28883.19,33776.41,5649,345.1,5167.78,3790.16,1322
2023,August,26,33470.65,77614.47,9384,857.27,6115.26,940.8,464
2024,April,11,49578.31,57644.78,3230,732.98,7114.09,8963.9,2767
2024,March,1,49359.59,90209.77,812,673.73,2243.5,17383.6,3453
2024,September,2,44498.46,47206.97,5310,119.22,5911.34,3246.44,319
2024,August,12,9418.61,10976.29,2687,239.25,1723.2,6076.61,296
2023,February,22,1688.17,28844.69,8930,674.11,8678.05,16952.97,3898
2023,March,3,10952.03,66043.08,9098,377.52,5417.29,11472.17,3136
2024,April,28,12479.12,30791.51,669,557.34,4511.29,8744.72,658
2024,April,9,3288.3,34063.9,3563,850.23,5480.0,6255.37,3588
2024,November,18,5177.94,37256.86,1631,989.32,3609.14,15938.6,4729
2023,April,13,11172.42,77210.03,5842,360.72,8797.65,6045.3,3275
2024,April,10,12978.11,64015.12,209,303.57,2423.69,4236.28,4419
2023,August,7,8056.17,40622.14,1876,730.92,6115.09,10803.08,794
2024,December,8,5462.05,44779.79,8647,535.49,427.98,16673.53,4092
2023,April,9,24626.12,31924.63,1036,964.42,338.36,12615.78,3179
2024,June,8,47278.24,14764.35,9509,239.91,9887.19,2044.51,2803
2023,June,14,16197.12,70672.21,7055,173.82,9717.69,12835.67,4060
2024,February,28,27694.66,95867.73,3812,105.31,3655.39,10956.02,3802
2024,April,24,3357.84,81635.3,6980,939.72,9245.45,10140.43,2388
2024,March,13,18795.16,40534.3,3765,351.78,1631.88,6799.26,4019
2023,October,6,39757.32,19361.85,681,934.81,3431.09,5258.65,2899
2023,September,7,22694.21,27173.49,5675,654.81,5495.79,11650.78,2677
2024,May,19,30145.58,18476.64,303,762.9,1482.87,18198.98,1481
2023,February,12,40488.88,77708.55,6310,875.21,3654.56,19583.14,1926
2024,December,17,30118.08,25224.67,3439,240.23,7516.31,865.34,2716
2023,May,18,1822.57,34891.59,9588,253.51,9475.37,12798.79,698
2023,September,29,22838.74,70455.55,2140,505.04,6638.6,19521.7,4808
2023,January,4,27199.59,64589.33,5895,324.33,7632.03,243.47,405
2024,November,19,15574.33,49390.95,9501,282.18,6180.72,14516.57,1774
2023,September,7,46818.51,14470.5,3689,157.45,2738.84,16019.97,2566
2024,June,20,21110.44,70139.07,6344,703.72,6831.98,2697.26,2360
2023,May,29,46388.27,61010.46,3245,810.23,9982.93,15444.29,3673
2024,April,23,19879.28,19836.42,7628,594.07,2854.97,6025.89,2472
2024,February,5,49213.01,39876.34,4012,353.94,7168.5,15599.51,2591
2023,November,10,41599.73,48865.27,3544,876.92,2543.99,9427.26,984
2024,May,4,2168.09,60279.37,2906,269.26,3014.31,12520.29,2171
2023,October,15,13230.93,71701.29,54,240.09,7262.09,8072.59,2330
2023,August,28,27432.8,30272.26,6025,880.09,8563.25,14180.83,4543
2024,April,20,21071.85,76243.79,7976,666.14,9385.27,2786.86,3878
2024,October,19,29079.81,84404.71,372,436.32,4798.43,15357.2,3859
2023,May,6,41576.87,42350.21,5417,793.16,2452.82,19154.22,411
2023,July,4,28572.41,29587.99,5183,484.14,8830.37,4611.02,170
2024,December,4,15067.06,23486.7,6247,257.58,3161.45,15234.61,367
2023,September,28,21256.52,23184.11,6667,686.86,9901.96,1590.99,1309
2023,February,22,4079.57,35678.19,977,957.63,2479.87,13138.82,1035
2023,January,3,3148.68,96708.06,4806,363.15,9894.45,11059.82,2874
2023,November,15,11391.05,93078.09,763,692.97,2622.04,10943.23,2512
2023,August,18,28449.97,59815.27,4671,230.42,7980.01,15660.49,1598
2023,March,30,19409.82,74627.56,6664,940.0,9228.26,9523.2,3530
2023,January,22,48819.14,74091.7,9694,908.09,9770.21,19448.3,2851
2024,March,11,8518.78,58958.03,9873,818.83,6719.14,1221.07,301
2023,June,1,13086.15,44767.69,7709,610.67,6028.16,19728.05,3116
2024,May,24,42783.98,83927.95,6434,123.22,3819.39,18464.75,4244
2023,November,3,6877.66,75206.69,8496,974.77,3311.88,5059.82,3708
2023,November,10,11352.17,21744.72,3651,474.75,9906.84,12347.32,596
2024,August,11,20318.72,53535.37,7231,110.63,5931.83,11175.63,4713
2023,April,11,26721.25,75764.77,9571,895.55,9359.08,5268.25,3712
2024,August,11,41054.88,26328.55,2173,379.07,1038.09,4721.92,4019
2023,November,14,9486.55,25883.18,5072,963.36,6556.29,2935.25,1006
2024,May,10,40950.1,11322.5,4801,273.71,3566.67,16306.44,262
2023,November,25,14801.99,24511.94,726,457.08,3934.58,14939.18,4488
2024,June,13,35743.11,30020.73,2848,807.67,1205.05,15339.41,4409
2024,October,13,38301.5,57641.07,5828,564.43,6565.55,5868.1,2110
2024,March,28,35175.34,50251.96,4668,482.21,5560.79,2931.74,1514
2023,April,23,7764.65,78370.03,5100,390.37,4601.15,14509.52,4214
2023,March,30,10646.79,50271.23,2673,392.33,2540.43,147.35,726
2023,June,18,41621.42,62489.15,5253,402.24,1947.65,937.08,2238
2023,October,16,37921.96,93613.26,8520,816.88,831.55,2544.85,2638
2024,February,4,6815.98,68601.28,1338,829.75,7878.34,3454.24,4038
